date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2025-01-08,1839.25,1842.8,1782.6,1837.25,1792.0,1798.95,2080.0,642.4,109001,196067442.65
2025-01-09,1775.0,1807.65,1736.0,1798.95,1755.35,1750.05,2080.0,642.4,94464,167041097.8
2025-01-10,1738.0,1745.75,1664.6,1750.05,1667.8,1668.1,2080.0,642.4,123724,210296455.65
2025-01-13,1663.0,1667.75,1550.75,1668.1,1582.85,1581.2,2080.0,642.4,150117,241153607.8
2025-01-14,1589.5,1619.0,1573.25,1581.2,1598.0,1592.1,2080.0,642.4,105792,168503363.3
2025-01-15,1605.0,1629.0,1574.0,1592.1,1581.0,1582.5,2080.0,642.4,72019,114949181.7
2025-01-16,1682.0,1733.15,1660.05,1582.5,1682.0,1679.4,2080.0,642.4,427871,722938569.85
2025-01-17,1679.95,1742.7,1649.75,1679.4,1698.0,1693.25,2080.0,642.4,158929,270959757.85
2025-01-20,1697.9,1700.0,1672.25,1693.25,1690.0,1686.25,2080.0,665.0,83944,141494350.0
2025-01-21,1689.9,1720.0,1624.05,1686.25,1634.5,1634.55,2080.0,665.0,107561,178148486.55
2025-01-22,1646.75,1652.95,1570.0,1634.55,1607.0,1603.7,2080.0,665.0,89197,142487248.55
2025-01-23,1602.0,1618.85,1575.2,1603.7,1577.0,1578.95,2080.0,665.0,69463,110761521.75
2025-01-24,1589.0,1590.0,1490.0,1578.95,1503.0,1520.05,2080.0,665.0,104482,161237170.9
2025-01-27,1495.0,1495.0,1415.0,1520.05,1419.55,1423.7,2080.0,681.05,324461,464815585.25
2025-01-28,1446.9,1459.9,1286.0,1423.7,1329.6,1316.8,2080.0,681.05,550657,731853343.85
2025-01-29,1340.0,1425.0,1339.95,1316.8,1424.8,1419.8,2080.0,681.05,256913,358669749.5
2025-01-30,1456.05,1540.0,1451.35,1419.8,1500.0,1497.15,2080.0,681.05,422636,633506907.55
2025-01-31,1500.1,1563.0,1497.0,1497.15,1548.0,1549.55,2080.0,681.05,236201,362683066.6
2025-02-01,1555.0,1600.0,1500.1,1549.55,1503.05,1506.35,2080.0,681.05,165068,256218637.25
2025-02-03,1491.0,1536.75,1480.1,1506.35,1490.0,1490.2,2080.0,892.0,163713,245089959.05
2025-02-04,1520.0,1520.0,1458.3,1490.2,1495.0,1485.35,2080.0,892.0,227172,336591029.2
2025-02-05,1497.0,1501.0,1443.0,1485.35,1472.45,1474.1,2080.0,892.0,238483,350779313.1
2025-02-06,1530.0,1555.65,1501.05,1474.1,1520.6,1521.05,2080.0,892.0,612915,931656252.1
2025-02-07,1524.15,1609.95,1524.15,1521.05,1555.0,1557.3,2080.0,892.0,366607,576507979.45
2025-02-10,1560.6,1566.0,1461.75,1557.3,1474.85,1470.85,2080.0,899.9,160360,239968556.25
2025-02-11,1478.0,1483.9,1390.4,1470.85,1407.0,1409.6,2080.0,899.9,152420,215755258.9
2025-02-12,1408.95,1465.0,1337.05,1409.6,1430.0,1420.65,2080.0,899.9,258623,360454744.5
2025-02-13,1424.0,1460.0,1396.7,1420.65,1424.95,1422.65,2080.0,899.9,157722,226195804.85
2025-02-14,1425.6,1428.95,1272.5,1422.65,1297.4,1296.55,2080.0,899.9,356987,473802389.65
2025-02-17,1296.55,1307.5,1227.95,1296.55,1243.7,1235.25,2080.0,1116.05,338302,423571778.8
2025-02-18,1244.95,1252.0,1175.05,1235.25,1193.0,1196.35,2080.0,1116.05,283630,340060601.15
2025-02-19,1188.0,1297.7,1170.05,1196.35,1264.0,1263.35,2080.0,1116.05,358420,451275704.9
2025-02-20,1259.9,1357.9,1237.7,1263.35,1355.0,1350.35,2080.0,1116.05,321856,424813791.95
2025-02-21,1355.0,1378.75,1329.3,1350.35,1348.0,1358.05,2080.0,1116.05,227309,307398163.8
2025-02-24,1335.0,1352.75,1297.0,1358.05,1319.95,1317.1,2080.0,1158.0,116631,154260753.5
2025-02-25,1320.0,1363.8,1312.4,1317.1,1352.0,1355.2,2080.0,1158.0,152441,204425031.05
2025-02-27,1350.0,1350.0,1271.2,1355.2,1279.55,1280.8,2080.0,1158.0,121245,157714392.55
2025-02-28,1265.0,1288.15,1237.0,1280.8,1270.0,1273.75,2080.0,1158.0,139805,176527410.95
2025-03-03,1280.05,1294.35,1170.15,1273.75,1225.75,1226.6,2080.0,1158.0,331193,401967774.15
2025-03-04,1220.95,1279.4,1201.2,1226.6,1265.0,1259.25,2080.0,1158.0,275922,345502337.2
2025-03-05,1266.0,1359.0,1266.0,1259.25,1355.05,1355.15,2080.0,1158.0,304685,404207716.3
2025-03-06,1369.85,1374.65,1276.3,1355.15,1302.0,1306.15,2080.0,1158.0,694794,906130182.75
2025-03-07,1313.0,1346.1,1298.5,1306.15,1328.95,1330.85,2080.0,1158.0,369834,490116469.9
2025-03-10,1340.0,1345.0,1303.0,1330.85,1310.0,1313.35,2080.0,1158.0,160009,210700268.65
2025-03-11,1282.05,1310.0,1275.75,1313.35,1291.0,1290.95,2080.0,1158.0,184308,238690736.05
2025-03-12,1300.0,1309.0,1260.0,1290.95,1281.0,1284.2,2080.0,1158.0,201670,258777464.55
2025-03-13,1299.7,1310.05,1245.3,1284.2,1275.0,1278.35,2080.0,1158.0,247041,313908069.65
2025-03-17,1289.2,1307.0,1251.0,1278.35,1254.2,1257.8,2080.0,1170.05,291462,373052600.4
2025-03-18,1274.3,1313.0,1261.5,1257.8,1299.9,1299.3,2080.0,1170.05,281486,363495696.35
2025-03-19,1307.0,1397.0,1305.7,1299.3,1388.0,1389.6,2080.0,1170.05,430412,587434816.15
2025-03-20,1397.95,1422.0,1363.0,1389.6,1385.0,1389.5,2080.0,1170.05,240826,333940569.3
2025-03-21,1392.0,1439.9,1386.2,1389.5,1437.0,1435.6,2080.0,1170.05,224721,319330516.0
2025-03-24,1448.8,1474.5,1439.55,1435.6,1469.0,1470.45,2080.0,1170.05,134937,197082645.3
2025-03-25,1470.6,1475.8,1409.1,1470.45,1410.0,1417.0,2080.0,1170.05,147977,211632529.9
2025-03-26,1416.9,1435.1,1360.0,1417.0,1366.5,1366.4,2080.0,1170.05,141529,196839747.05
2025-03-27,1358.0,1400.0,1350.95,1366.4,1400.0,1384.85,2080.0,1170.05,158335,218382705.7
2025-03-28,1397.0,1422.3,1350.0,1384.85,1361.45,1359.65,2080.0,1170.05,189612,262735622.8
2025-04-01,1341.9,1391.5,1333.0,1359.65,1389.0,1388.25,2080.0,1170.05,94185,129616748.8
2025-04-02,1386.35,1405.35,1355.4,1388.25,1394.45,1393.3,2080.0,1170.05,79459,110158386.15
2025-04-03,1370.0,1398.8,1353.55,1393.3,1370.0,1359.65,2080.0,1170.05,129915,178390279.5
2025-04-04,1350.0,1355.15,1288.0,1359.65,1305.6,1300.6,2080.0,1170.05,203161,266317305.95
2025-04-07,1181.0,1248.0,1159.45,1300.6,1230.0,1218.25,2080.0,1159.45,293789,355683898.55
2025-04-08,1277.25,1313.0,1242.85,1218.25,1284.75,1284.25,2080.0,1159.45,134037,169976367.05
2025-04-09,1284.05,1284.05,1242.9,1284.25,1260.0,1266.2,2080.0,1159.45,85624,107523066.65
2025-04-11,1331.0,1345.0,1284.55,1266.2,1338.0,1337.25,2080.0,1159.45,180900,238412940.85
2025-04-15,1369.0,1480.8,1362.9,1337.25,1449.0,1463.2,2080.0,1159.45,405144,579870031.6
2025-04-16,1463.2,1479.4,1437.8,1463.2,1465.0,1471.8,2080.0,1159.45,172157,251023564.5
2025-04-17,1477.0,1477.0,1435.0,1471.8,1457.9,1465.8,2080.0,1159.45,221741,322997527.4
2025-04-21,1481.0,1493.8,1445.0,1465.8,1473.0,1470.7,2080.0,1159.45,399337,590254600.7
2025-04-22,1474.9,1573.0,1462.8,1470.7,1557.0,1560.6,2080.0,1159.45,507607,778373313.3
2025-04-23,1573.0,1593.2,1532.4,1560.6,1572.2,1572.8,2080.0,1159.45,255243,399333560.2
2025-04-24,1574.0,1584.8,1540.0,1572.8,1540.0,1546.5,2080.0,1159.45,148891,231895700.6
2025-04-25,1549.8,1560.9,1490.1,1546.5,1502.5,1504.7,2080.0,1159.45,265132,402385635.0
2025-04-28,1519.9,1584.0,1506.0,1504.7,1567.8,1565.6,2080.0,1159.45,327788,510286629.6
2025-04-29,1574.4,1602.0,1558.0,1565.6,1570.0,1578.0,2080.0,1159.45,335236,530310260.3
2025-04-30,1584.0,1635.0,1535.7,1578.0,1560.0,1578.1,2080.0,1159.45,595000,947853821.8
2025-05-02,1560.0,1585.0,1545.0,1578.1,1548.9,1551.1,2080.0,1159.45,166898,260168344.2
2025-05-05,1585.0,1674.9,1582.0,1551.1,1635.9,1635.9,2080.0,1159.45,870906,1422242925.3
2025-05-06,1636.0,1669.0,1590.2,1635.9,1593.0,1606.8,2080.0,1159.45,309044,505929591.2
2025-05-07,1580.2,1672.0,1562.0,1606.8,1642.4,1650.3,2080.0,1159.45,378912,610305979.3
2025-05-08,1646.0,1672.0,1552.2,1650.3,1585.0,1593.5,2080.0,1159.45,225668,369205435.8
2025-05-09,1545.0,1623.9,1544.3,1593.5,1611.9,1608.5,2080.0,1159.45,292199,465972961.8
2025-05-12,1657.9,1685.0,1646.4,1608.5,1668.0,1668.3,2080.0,1159.45,211909,353214333.8
2025-05-13,1668.0,1755.9,1650.4,1668.3,1729.0,1729.3,2080.0,1159.45,445297,768973595.3
2025-05-14,1738.0,1786.5,1730.8,1729.3,1750.5,1760.0,2080.0,1159.45,280120,492559228.9
2025-05-15,1758.9,1825.0,1740.0,1760.0,1811.2,1812.8,2080.0,1159.45,418493,750635744.6
2025-05-16,1825.0,1848.9,1785.0,1812.8,1817.0,1819.6,2080.0,1159.45,351828,641059104.0
2025-05-19,1830.0,1869.0,1816.5,1819.6,1840.1,1848.1,2080.0,1159.45,299226,552418361.8
2025-05-20,1860.0,1880.0,1790.0,1848.1,1792.0,1798.4,2080.0,1159.45,384383,701603588.3
2025-05-21,1781.1,1845.9,1770.0,1798.4,1829.0,1827.4,2080.0,1159.45,294140,536475639.3
2025-05-22,1821.0,1847.8,1809.8,1827.4,1818.0,1817.8,2080.0,1159.45,188233,342828921.4
2025-05-23,1824.0,1831.8,1788.0,1817.8,1798.8,1793.6,2080.0,1159.45,165744,299875918.6
2025-05-26,1830.0,1873.9,1772.3,1793.6,1793.1,1804.5,2080.0,1159.45,395658,717669411.6
2025-05-27,1802.1,1820.7,1764.4,1804.5,1771.0,1768.7,2080.0,1159.45,204658,366195526.8
2025-05-28,1771.9,1804.1,1771.9,1768.7,1776.0,1776.8,2080.0,1159.45,210427,375739145.9
2025-05-29,1789.9,1805.9,1750.0,1776.8,1785.0,1784.3,2080.0,1159.45,182738,323594372.3
2025-05-30,1787.8,1794.8,1747.2,1784.3,1782.9,1770.4,2080.0,1159.45,674897,1192495586.0
2025-06-02,1779.0,1899.0,1762.8,1770.4,1790.0,1773.4,2080.0,1159.45,982745,1792267459.7
2025-06-03,1791.4,1855.0,1786.4,1773.4,1802.0,1804.6,2080.0,1159.45,441334,803391091.2
2025-06-04,1804.6,1835.0,1795.3,1804.6,1812.0,1816.3,2080.0,1159.45,123536,224743904.4
2025-06-05,1819.0,1839.6,1745.0,1816.3,1754.0,1753.6,2080.0,1159.45,367195,652167807.8
2025-06-06,1719.1,1745.6,1559.9,1753.6,1656.8,1649.7,2080.0,1159.45,10514335,17049874778.1
2025-06-09,1665.0,1703.7,1661.1,1649.7,1686.4,1689.2,2080.0,1159.45,1117693,1881327512.4
2025-06-10,1695.0,1702.0,1635.7,1689.2,1638.0,1641.0,2080.0,1159.45,436968,723378334.3
2025-06-11,1642.0,1680.9,1638.8,1641.0,1652.5,1657.4,2080.0,1159.45,514394,855724368.5
2025-06-12,1657.5,1672.0,1605.0,1657.4,1609.9,1609.7,2080.0,1159.45,215721,352255510.4
2025-06-13,1550.0,1668.0,1550.0,1609.7,1641.0,1648.8,2080.0,1159.45,445687,727806088.2
